Latitude,Longitude,Street Address,Suburb,Postcode,Region,Bedrooms,Bathrooms,Parking Spaces,Property Type,Price,Listing Id,Title,Date Sold,Modified Date
-37.78285,144.97264,911 Rathdowne Street,Carlton North,3054,melbourne_city___greater_region,3,1,1,house,"$1,700,000 ",129461530,Village lifestyle and convenience,2018/10/27,2018/10/31 обнГ 01:55:38
-37.88885,145.01051,47 Parkside Street,Elsternwick,3185,bayside,3,1,1,house,"$1,630,000 ",129475162,Period character Parkside location,2018/10/27,2018/11/1 обнГ 01:55:55
-37.87767,145.08835,1 Green Gables Avenue,Malvern East,3145,inner_east_melbourne,3,1,2,house,"$1,620,000 ",129498902,Beautiful Family Refinement with a Huge Future,2018/10/27,2018/11/3 обнГ 01:55:38
-37.75382,145.1535,8 Augustus Rise,Templestowe,3106,inner_east_melbourne,4,2,2,house,"$1,620,000 ",129462174,Sophisticated allure and flawless living,2018/10/27,2018/10/31 обнГ 01:55:39
-37.3365,144.65557,240 Mumfords Road,Hesket,3442,northern_region,3,1,0,house,"$1,605,000 ",129271022,Goldbank circa late 1800s (Estate of Isla Merle Grieve),2018/10/27,2018/11/5 ионГ 03:02:25
-37.78203,145.09099,5 Clive Court,Balwyn North,3104,inner_east_melbourne,4,2,2,house,"$1,600,000 ",129437586,Traditional Quarter Acre Block (approx.) Redevelopment Potential (STCA),2018/10/27,2018/10/28 ионГ 02:00:14
-37.80051,145.06489,6 Uplands Road,Balwyn North,3104,inner_east_melbourne,4,2,2,house,"$1,471,888 ",129460318,Drawcards in every direction,2018/10/27,2018/10/31 обнГ 01:55:36
-37.6581,144.90199,109 Normanby Drive,Greenvale,3059,melbourne___northern_region,4,2,2,house,"$1,470,000 ",129460374,"SOLD for $1,470,000",2018/10/27,2018/10/31 обнГ 01:55:36
-37.70255,145.08681,270 Grimshaw Street,Watsonia North,3087,melbourne___northern_region,3,1,4,house,"$1,450,000 ",129343166,A Rare Opportunity To Make A Statement,2018/10/27,2018/11/1 обнГ 02:10:16
-37.97877,145.04203,387 Balcombe Road,Beaumaris,3193,bayside,4,2,2,house,"$1,448,000 ",129432738,Stylish Sanctuary in the New College Zone,2018/10/27,2018/10/29 ионГ 02:00:22
-37.89753,145.10334,8 Cheel Street,Oakleigh East,3166,bayside,5,2,3,house,"$1,440,000 ",129462394,Highset & highest quality with a lucky address,2018/10/27,2018/11/2 ионГ 04:44:53
-37.78257,145.29772,15 French Street,Croydon,3136,eastern_melbourne,5,3,2,house,"$1,420,000 ",128428554,Sophisticated Golf Links Estate Splendour,2018/10/27,2018/11/5 обнГ 02:02:11
-37.99348,145.06887,1 Warrigal Road,Mentone,3194,bayside,4,1,2,house,"$1,410,000 ",129480190,A beachside land bonanza in prized school belt,2018/10/27,2018/11/2 обнГ 01:55:29
-37.84339,145.10647,6 Timor Close,Burwood,3125,inner_east_melbourne,4,3,2,house,"$1,410,000 ",129384898,Family Finesse In Peaceful Lifestyle Cul-de-sac,2018/10/27,2018/11/4 обнГ 02:07:56
-37.77329,144.95495,96 Union Street,Brunswick,3056,melbourne___northern_region,4,1,2,house,"$1,405,000 ",129480026,Extended Elegance in a Perfect Position,2018/10/27,2018/11/2 обнГ 01:55:29
-37.95852,145.02227,19a Reno Road,Sandringham,3191,bayside,3,2,2,townhouse,"$1,395,000 ",129439914,Fabulous Spaces for a Premier Lifestyle,2018/10/27,2018/10/31 ионГ 02:00:25
-37.80958,145.1143,13 Dunloe Avenue,Mont Albert North,3129,inner_east_melbourne,3,3,2,townhouse,"$1,388,000 ",129456918,Flexible Floorplan Boosts Family Functionality,2018/10/27,2018/10/31 обнГ 01:55:30
-37.82364,144.99231,6/50 Tanner Street,Richmond,3121,inner_east_melbourne,3,2,3,townhouse,"$1,370,000 ",129467178,Outstanding inner city haven,2018/10/27,2018/11/1 обнГ 01:55:36
-37.84507,145.12405,26 Eley Road,Burwood,3125,inner_east_melbourne,3,1,2,house,"$1,370,000 ",129406318,Parkland poise for a clinker classic,2018/10/27,2018/10/28 ионГ 02:00:13
-37.79572,145.29606,4-6 Thackeray Court,Croydon,3136,eastern_melbourne,3,2,2,house,"$1,365,000 ",129269358,"2,174sqm Approximate Double-Block Development Opportunity ",2018/10/27,2018/11/2 обнГ 04:41:18
-37.76824,144.94756,9 Smith Street,Brunswick West,3055,melbourne___northern_region,5,2,4,house,"$1,355,000 ",129488758,The sweet sound of success,2018/10/27,2018/11/2 обнГ 01:55:45
-37.54324,144.61163,299 Couangalt Road,Gisborne South,3437,western_region,0,0,0,residential land,"$1,350,000 ",202220302,THERE IS NO BETTER BLOCK THAN THIS √ 26 acres approx.,2018/10/27,2018/11/2 обнГ 02:19:22
-37.78274,145.01228,243 Westgarth Street,Northcote,3070,melbourne___northern_region,3,1,0,house,"$1,350,000 ",129424170,Simply Delightful,2018/10/27,2018/11/4 обнГ 04:37:58
-37.77068,144.94421,105 Collier Crescent,Brunswick West,3055,melbourne___northern_region,4,2,1,house,"$1,342,500 ",129442110,ELEGANT ENTERTAINER,2018/10/27,2018/10/29 ионГ 02:00:23
-37.75852,145.01571,209 Rossmoyne Street,Thornbury,3071,melbourne___northern_region,3,1,2,house,"$1,340,000 ",129483238,Timeless Charm with Extended Flexibility,2018/10/27,2018/11/2 обнГ 01:55:35
-38.42707,145.04766,4 Prout Webb Road,Shoreham,3916,mornington_peninsula,3,3,4,house,Contact agent,129458826,Walk to the beach,2018/10/27,2018/10/31 обнГ 01:55:33
-37.78879,144.97576,342 Station Street,Carlton North,3054,melbourne_city___greater_region,3,1,0,house,"$1,335,000 ",129488702,"Perennial Boom-era appeal, prime address",2018/10/27,2018/11/2 обнГ 01:55:45
-37.89105,145.01365,391 Kooyong Road,Elsternwick,3185,bayside,3,1,1,house,"$1,330,000 ",129473866,"Palms, position and potential for period prestige",2018/10/27,2018/11/1 обнГ 01:55:51
-37.78805,144.97946,180 Rae Street,Fitzroy North,3068,melbourne_city___greater_region,2,1,1,house,"$1,330,000 ",129460390,A contemporary gem in historic North Fitzroy,2018/10/27,2018/10/31 обнГ 01:55:36
-37.84255,145.00108,8 May Grove,South Yarra,3141,inner_east_melbourne,3,1,2,house,"$1,305,000 ",129435822,Charming Cottage with Endless Scope,2018/10/27,2018/10/30 ионГ 02:00:27
-37.85295,145.10555,23 Cromwell Street,Burwood,3125,inner_east_melbourne,5,3,2,house,"$1,302,500 ",129490502,"40 Squares of Spectacularly Large, Brand New, Family Residence",2018/10/27,2018/11/2 обнГ 01:55:49
-37.77078,145.01914,232 Station Street,Fairfield,3078,melbourne___northern_region,4,2,1,house,"$1,301,000 ",129456966,Family Perfection In A Stunning Architect Design,2018/10/27,2018/10/31 обнГ 01:55:30
-37.76416,144.99555,7 Emmaline Street,Northcote,3070,melbourne___northern_region,3,1,1,house,"$1,285,250 ",129486430,A Prime Lifestyle Opportunity,2018/10/27,2018/11/5 обнГ 04:30:55
-37.77495,145.1453,4 Cricklewood Drive,Templestowe,3106,inner_east_melbourne,5,2,2,house,"$1,285,000 ",129462106,"Big price adjustment, vendor says sell!",2018/10/27,2018/10/31 обнГ 01:55:40
-37.78417,144.96941,505 Lygon Street,Carlton North,3054,melbourne_city___greater_region,3,1,1,house,"$1,282,000 ",129437918,"Majestic past, bright future.",2018/10/27,2018/11/1 ионГ 05:33:21
-37.80693,145.23601,36-38 Oliver Street,Ringwood,3134,eastern_melbourne,5,3,3,house,"$1,280,000 ",129491550,Spacious family haven.,2018/10/27,2018/11/2 обнГ 01:55:53
-37.80229,145.22203,20 Summit Crescent,Ringwood North,3134,eastern_melbourne,4,2,0,house,"$1,270,000 ",129458478,Sensational Views On Summit,2018/10/27,2018/10/31 обнГ 01:55:33
-37.78034,145.01263,87 Thomson Street,Northcote,3070,melbourne___northern_region,3,1,1,house,"$1,260,000 ",129364062,Westgarth Classic!,2018/10/27,2018/11/6 ионГ 02:00:16
-37.7498,144.98656,16 Burgess Street,Preston,3072,melbourne___northern_region,3,1,0,house,"$1,255,000 ",129491186,Classic Californian Grace,2018/10/27,2018/11/2 обнГ 01:55:50
-37.74647,144.98456,1 Stafford Street,Preston,3072,melbourne___northern_region,4,1,4,house,"$1,250,000 ",129490054,Art Deco Charm and Beauty,2018/10/27,2018/11/2 обнГ 01:55:48
-37.75425,145.16785,2 Donegal Court,Templestowe,3106,inner_east_melbourne,5,2,2,house,"$1,250,000 ",129462290,The ultimate family entertainer,2018/10/27,2018/10/31 обнГ 01:55:39
-37.81496,145.00261,54A Kent Street,Richmond,3121,inner_east_melbourne,2,2,1,townhouse,Contact agent,129486098,Oversized living offering a sun-bathed sanctuary of style,2018/10/27,2018/11/2 обнГ 01:55:40
-37.79747,144.93046,18 Tennyson Street,Kensington,3031,melbourne_city___greater_region,3,2,1,house,"$1,235,000 ",129440770,Crazy For 'Daisy',2018/10/27,2018/11/3 ионГ 02:00:18
